,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
13,Bahrain,1.4659999609999999,1.478000045,1.2039999959999999,1.228000045,1.297999978,0.9980000259999999,0.824999988,0.640999973,0.609000027,1.080000043,1.129999995,1.274000049,1.200000048,1.3229999540000001,1.169999957,1.129999995,0.91900003,0.700999975,0.649999976,0.713999987
14,Bosnia and Herzegovina,25.65500069,26.60199928,27.70400047,28.70999908,29.59399986,30.4470005,31.11000061,28.98399925,23.40500069,24.06800079,27.31200027,27.58200073,28.01000023,27.45000076,27.5170002,27.69400024,25.40800095,20.52700043,18.39999962,18.42499924
15,Belarus,12.0010004,11.25500011,10.61800003,9.927000046,9.18599987,8.460000037999999,7.68900013,6.9819998739999996,6.390999794,6.099999905,6.125999928,6.09800005,6.078000069,6.0630002020000004,5.980999947000001,5.914000034,5.840000152999999,5.650000095,4.760000229,4.59499979
16,Bolivia,2.8929998869999998,2.890000105,2.9349999430000002,2.9389998910000004,2.8959999080000003,2.84100008,2.7290000919999997,2.63499999,2.602999926,2.862999916,2.552000046,2.219000101,2.048000097,2.394000053,2.006999969,3.065999985,3.525000095,3.6700000760000004,3.53399992,3.497999907
17,Brazil,9.895000458,9.609999657000001,9.37100029,9.991000175,9.104999542,9.56799984,8.638999939,8.326999664,7.342999935,8.522000313,7.736000061,6.916999817000001,7.18599987,6.975999832,6.660999775,8.427000046,11.60000038,12.82199955,12.33399963,12.08300018
18,Bhutan,1.636999965,1.899999976,1.861999989,1.7999999519999998,2.49000001,3.099999905,3.1300001139999996,3.700000048,3.663000107,3.960000038,3.319999933,3.2300000189999998,2.049999952,2.8699998860000004,2.630000114,2.450000048,2.415999889,2.35800004,2.302999973,2.3420000080000003
19,Botswana,15.88000011,18.54000092,21.13500023,23.79999924,21.76600075,19.79999924,17.79999924,16.97200012,16.30800056,16.16900063,17.86000061,17.86499977,17.88899994,17.92099953,17.81900024,17.74699974,17.6590004,17.50499916,17.35300064,18.19300079
20,Central African Republic,3.953000069,3.950000048,4.000999928,4.006000042,3.957000017,3.8959999080000003,3.769000053,3.661000013,3.625,3.867000103,3.9270000460000003,3.928999901,3.9400000569999998,3.95600009,3.90199995,3.864000082,3.8190000060000004,3.74000001,3.664000034,3.680000067
21,Canada,6.828999996,7.218999863,7.6649999620000004,7.573999882000001,7.184999942999999,6.757999897,6.320000172,6.035999775,6.137000083999999,8.343999862999999,8.055999756,7.511000156000001,7.291999817000001,7.073999882000001,6.914000034,6.906000137,6.999000072,6.340000152999999,5.8309998510000005,5.56400013
22,Switzerland,2.665999889,2.49000001,2.924000025,4.116000175,4.315999985,4.436999798,4.0,3.65199995,3.349999905,4.116000175,4.80700016,4.407999992,4.485000134,4.747000217,4.826000214,4.801000118,4.918000221000001,4.796999931,4.712999821,4.5809998510000005
23,Chile,10.49100018,10.39000034,10.16800022,9.765000342999999,10.161999699999999,9.340000153,9.024000167999999,8.427000046,9.284999847,11.31299973,8.423999786,7.343999863,6.65899992,6.214000225,6.6649999620000004,6.507999897,6.737999916000001,6.958000182999999,7.232999802,7.090000152999999
