"Data Source","World Development Indicators",

"Last Updated Date","2020-10-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Eritrea","ERI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","704","1081","2105","2606","2501","2972","1984","2272","3619","3890","4242","4418","4621","5042","4862","4751","4809","4719","3600","3166","2898","2549","2342","2392","2252","199","",
"Spain","ESP","Refugee population by country or territory of asylum","SM.POP.REFG","","2000","2000","2000","14000","14000","17000","20000","20000","23000","29500","38000","40000","26000","18000","16000","16500","15000","15000","26000","21500","21500","23500","23700","9900","9300","10200","9200","8691","8676","8303","4005","4040","4990","5351","5840","5672","5512","5918","6708","6982","6804","6783","5912","5690","5369","5269","5143","4649","3960","3814","4220","4502","4641","5797","6447","12983","17541","20437","57751","",
"Estonia","EST","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","6","","","6","16","16","31","34","48","52","82","158","312","405","319","331","",
"Ethiopia","ETH","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","20000","20000","21000","22730","16200","5400","5910","11150","10690","10940","10930","10930","10930","5450","5550","31370","180480","180400","132400","310500","679532","710166","773764","529620","431824","272632","348074","393479","390528","323064","262158","257683","197960","152554","132939","130274","115979","100813","96975","85179","83573","121880","154288","288839","376388","433933","659520","736081","791631","889412","903226","733123","",
"European Union","EUU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1306750","1339544","2233695","2329648","2239332","2169236","2180515","1864572","1636620","1649459","1521052","1510427","1566601","1507603","1381910","1188299","1097104","1065248","1098218","1145178","1156054","1153317","1189554","850674","979904","1210729","1769745","2167138","2362839","2591349","",
"Fragile and conflict affected situations","FCS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3987722","3496788","3776495","4028135","5190719","4770133","3636716","3205827","3221130","3356453","3535501","3544813","3635520","3371077","3470332","3561194","4343303","5477351","5142327","5350454","5272546","5300996","5319824","6062110","7055277","7210110","7278373","7886616","8134971","8157246","",
"Finland","FIN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","500","500","500","800","1065","2000","2348","4561","5950","8511","9511","10191","11382","12017","12288","12866","13271","12726","12485","10835","11309","11801","11827","6201","6621","7448","8721","9170","9910","11242","11783","12692","18402","20793","22287","23458","",
"Fiji","FJI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","7","","","","","","","","","","","","","","","5","","","7","7","7","7","","12","",
"France","FRA","Refugee population by country or territory of asylum","SM.POP.REFG","245935","253375","259740","174057","175861","177665","179468","177200","176736","175242","158543","141844","98900","101830","105538","109882","114634","119413","126229","119489","121958","125597","152223","164113","169863","174213","180258","179306","183946","180258","193000","174756","156512","166269","195288","155240","151331","146558","140213","129722","132508","131601","132182","130838","139852","137316","145996","151789","171206","196364","200687","210207","217865","232487","252248","273117","304527","337158","368345","407915","",
"Faroe Islands","FRO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","5","","","","",
"Gabon","GAB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","4500","","","","","","60000","60000","90000","60200","30200","20000","400","640","","","","100","","","","417","220","272","","597","790","797","864","1127","15069","17978","15576","13468","13999","13780","8541","8421","8822","8998","8843","9014","1769","1661","1592","1007","934","926","845","686","454","",
"United Kingdom","GBR","Refugee population by country or territory of asylum","SM.POP.REFG","167000","164000","160000","157000","160000","170000","167000","164000","161000","162000","162000","150000","150000","150000","155500","153000","153000","148000","150000","146000","148000","146000","143000","140000","135000","135000","100000","100000","39755","46014","43625","43368","64717","80230","85159","90908","98577","107933","121715","148921","186247","233389","260687","276482","298826","303163","301537","299701","292081","269355","238133","193494","149790","126036","117226","123051","118973","121821","126708","133083","",
