country,iso,region,score,rank,interval,value
Cuba,CUB,AME,4.4,61,3.5 - 5.1,44
Turkey,TUR,ECA,4.4,61,3.9 - 4.9,44
Italy,ITA,WE/EU,4.3,63,3.8 - 4.9,43
Saudi Arabia,SAU,MENA,4.3,63,3.1 - 5.3,43
Tunisia,TUN,MENA,4.2,65,3.0 - 5.5,42
Croatia,HRV,WE/EU,4.1,66,3.7 - 4.5,41
Georgia,GEO,ECA,4.1,66,3.4 - 4.7,41
Kuwait,KWT,MENA,4.1,66,3.2 - 5.1,41
Ghana,GHA,SSA,3.9,69,3.2 - 4.6,39
Montenegro,MNE,ECA,3.9,69,3.5 - 4.4,39
Bulgaria,BGR,WE/EU,3.8,71,3.2 - 4.5,38
FYR Macedonia,MKD,ECA,3.8,71,3.4 - 4.2,38
Greece,GRC,WE/EU,3.8,71,3.2 - 4.3,38
Romania,ROU,WE/EU,3.8,71,3.2 - 4.3,38
Brazil,BRA,AME,3.7,75,3.3 - 4.3,37
Colombia,COL,AME,3.7,75,3.1 - 4.3,37
Peru,PER,AME,3.7,75,3.4 - 4.1,37
Suriname,SUR,AME,3.7,75,3.0 - 4.7,37
Burkina Faso,BFA,SSA,3.6,79,2.8 - 4.4,36
China,CHN,AP,3.6,79,3.0 - 4.2,36
Swaziland,SWZ,AP,3.6,79,3.0 - 4.7,36
Trinidad and Tobago,TTO,AME,3.6,79,3.0 - 4.3,36
Serbia,SRB,ECA,3.5,83,3.3 - 3.9,35
El Salvador,SLV,AME,3.4,84,3.0 - 3.8,34
Guatemala,GTM,AME,3.4,84,3.0 - 3.9,34
India,IND,AP,3.4,84,3.2 - 3.6,34
Panama,PAN,AME,3.4,84,3.1 - 3.7,34
Thailand,THA,AP,3.4,84,3.0 - 3.8,34
Lesotho,LSO,SSA,3.3,89,2.8 - 3.8,33
Malawi,MWI,SSA,3.3,89,2.7 - 3.9,33
Mexico,MEX,AME,3.3,89,3.2 - 3.5,33
Moldova,MDA,ECA,3.3,89,2.7 - 4.0,33
Morocco,MAR,MENA,3.3,89,2.8 - 3.9,33
Rwanda,RWA,SSA,3.3,89,2.9 - 3.7,33
Albania,ALB,ECA,3.2,95,3.0 - 3.3,32
Vanuatu,VUT,AP,3.2,95,2.3 - 4.7,32
Liberia,LBR,SSA,3.1,97,1.9 - 3.8,31
Sri Lanka,LKA,AP,3.1,97,2.8 - 3.4,31
Bosnia and Herzegovina,BIH,ECA,3,99,2.6 - 3.4,30
Dominican Republic,DOM,AME,3,99,2.9 - 3.2,30
Jamaica,JAM,AME,3,99,2.8 - 3.3,30
Madagascar,MDG,SSA,3,99,2.8 - 3.2,30
Senegal,SEN,SSA,3,99,2.5 - 3.6,30
Tonga,TON,AP,3,99,2.6 - 3.3,30
Zambia,ZMB,SSA,3,99,2.8 - 3.2,30
Argentina,ARG,AME,2.9,106,2.6 - 3.1,29
Benin,BEN,SSA,2.9,106,2.3 - 3.4,29
Gabon,GAB,SSA,2.9,106,2.6 - 3.1,29
Gambia,GMB,SSA,2.9,106,1.6 - 4.0,29
Niger,NER,SSA,2.9,106,2.7 - 3.0,29
Algeria,DZA,MENA,2.8,111,2.5 - 3.1,28
Djibouti,DJI,SSA,2.8,111,2.3 - 3.2,28
Egypt,EGY,MENA,2.8,111,2.6 - 3.1,28
Indonesia,IDN,AP,2.8,111,2.4 - 3.2,28
Kiribati,KIR,AP,2.8,111,2.3 - 3.3,28
Mali,MLI,SSA,2.8,111,2.4 - 3.2,28
Sao Tome and Principe,STP,SSA,2.8,111,2.4 - 3.3,28
Solomon Islands,SLB,AP,2.8,111,2.3 - 3.3,28
Togo,TGO,SSA,2.8,111,1.9 - 3.9,28
Armenia,ARM,ECA,2.7,120,2.6 - 2.8,27
Bolivia,BOL,AME,2.7,120,2.4 - 3.1,27
Ethiopia,ETH,SSA,2.7,120,2.4 - 2.9,27
Kazakhstan,KAZ,ECA,2.7,120,2.1 - 3.3,27
Mongolia,MNG,AP,2.7,120,2.4 - 3.0,27
Viet Nam,VNM,AP,2.7,120,2.4 - 3.1,27
Eritrea,ERI,SSA,2.6,126,1.6 - 3.8,26
Guyana,GUY,AME,2.6,126,2.5 - 2.7,26
Syria,SYR,MENA,2.6,126,2.2 - 2.9,26
Tanzania,TZA,SSA,2.6,126,2.4 - 2.9,26
Honduras,HND,AME,2.5,130,2.2 - 2.8,25
Lebanon,LBN,MENA,2.5,130,1.9 - 3.1,25
Libya,LBY,MENA,2.5,130,2.2 - 2.8,25
Maldives,MDV,AP,2.5,130,1.8 - 3.2,25
Mauritania,MRT,SSA,2.5,130,2.0 - 3.3,25
Mozambique,MOZ,SSA,2.5,130,2.3 - 2.8,25
Nicaragua,NIC,AME,2.5,130,2.3 - 2.7,25
Nigeria,NGA,SSA,2.5,130,2.2 - 2.7,25
Uganda,UGA,SSA,2.5,130,2.1 - 2.8,25
Bangladesh,BGD,AP,2.4,139,2.0 - 2.8,24
Belarus,BLR,ECA,2.4,139,2.0 - 2.8,24
Pakistan,PAK,AP,2.4,139,2.1 - 2.7,24
Philippines,PHL,AP,2.4,139,2.1 - 2.7,24
Azerbaijan,AZE,ECA,2.3,143,2.0 - 2.6,23
Comoros,COM,SSA,2.3,143,1.6 - 3.3,23
Nepal,NPL,AP,2.3,143,2.0 - 2.6,23
Cameroon,CMR,SSA,2.2,146,1.9 - 2.6,22
Ecuador,ECU,AME,2.2,146,2.0 - 2.5,22
Kenya,KEN,SSA,2.2,146,1.9 - 2.5,22
Russia,RUS,ECA,2.2,146,1.9 - 2.4,22
Sierra Leone,SLE,SSA,2.2,146,1.9 - 2.4,22
Timor-Leste,TLS,AP,2.2,146,1.8 - 2.6,22
Ukraine,UKR,ECA,2.2,146,2.0 - 2.6,22
Zimbabwe,ZWE,SSA,2.2,146,1.7 - 2.8,22
Côte d´Ivoire,CIV,SSA,2.1,154,1.8 - 2.4,21
Papua New Guinea,PNG,AP,2.1,154,1.7 - 2.5,21
Paraguay,PRY,AME,2.1,154,1.7 - 2.5,21
Yemen,YEM,MENA,2.1,154,1.6 - 2.5,21
Cambodia,KHM,AP,2,158,1.8 - 2.2,20
Central African Republic,CAF,SSA,2,158,1.9 - 2.2,20
Laos,LAO,AP,2,158,1.6 - 2.6,20
Tajikistan,TJK,ECA,2,158,1.6 - 2.5,20
Angola,AGO,SSA,1.9,162,1.8 - 1.9,19
Congo Republic,COG,SSA,1.9,162,1.6 - 2.1,19
Congo Democratic Republic,COD,SSA,1.9,162,1.7 - 2.1,19
Guinea-Bissau,GNB,SSA,1.9,162,1.8 - 2.0,19
Kyrgyzstan,KGZ,ECA,1.9,162,1.8 - 2.1,19
Venezuela,VEN,AME,1.9,162,1.8 - 2.0,19
Burundi,BDI,SSA,1.8,168,1.6 - 2.0,18
Equatorial Guinea,GNQ,SSA,1.8,168,1.6 - 1.9,18
Guinea,GIN,SSA,1.8,168,1.7 - 1.8,18
Haiti,HTI,AME,1.8,168,1.4 - 2.3,18
Iran,IRN,MENA,1.8,168,1.7 - 1.9,18
Turkmenistan,TKM,ECA,1.8,168,1.7 - 1.9,18
Uzbekistan,UZB,ECA,1.7,174,1.5 - 1.8,17
Chad,TCD,SSA,1.6,175,1.5 - 1.7,16
Iraq,IRQ,MENA,1.5,176,1.2 - 1.8,15
Sudan,SDN,SSA,1.5,176,1.4 - 1.7,15
Myanmar,MMR,AP,1.4,178,0.9 - 1.8,14
Afghanistan,AFG,AP,1.3,179,1.0 - 1.5,13
Somalia,SOM,SSA,1.1,180,0.9 - 1.4,11
