country,iso,region,score,rank,interval,value
Democratic Republic of the Congo,COD,SSA,2,168,0.09,20
Denmark,DNK,WE/EU,9.4,2,0.05,94
Djibouti,DJI,SSA,3,100,0.59,30
Dominica,DMA,AME,5.2,44,0.26,52
Dominican Republic,DOM,AME,2.6,129,0.19,26
Ecuador,ECU,AME,2.7,120,0.22,27
Egypt,EGY,MENA,2.9,112,0.21,29
El Salvador,SLV,AME,3.4,80,0.1,34
Equatorial Guinea,GNQ,SSA,1.9,172,0.07,19
Eritrea,ERI,SSA,2.5,134,0.56,25
Estonia,EST,WE/EU,6.4,29,0.29,64
Ethiopia,ETH,SSA,2.7,120,0.18,27
Finland,FIN,WE/EU,9.4,2,0.07,94
France,FRA,WE/EU,7,25,0.27,70
FYR Macedonia,MKD,ECA,3.9,69,0.21,39
Gabon,GAB,SSA,3,100,0.29,30
Gambia,GMB,SSA,3.5,77,0.65,35
Georgia,GEO,ECA,4.1,64,0.43,41
Germany,DEU,WE/EU,8,14,0.18,80
Ghana,GHA,SSA,3.9,69,0.28,39
Greece,GRC,WE/EU,3.4,80,0.26,34
Guatemala,GTM,AME,2.7,120,0.19,27
Guinea,GIN,SSA,2.1,164,0.11,21
Guinea-Bissau,GNB,SSA,2.2,154,0.1,22
Guyana,GUY,AME,2.5,134,0.1,25
Haiti,HTI,AME,1.8,175,0.14,18
Honduras,HND,AME,2.6,129,0.19,26
Hong Kong,HKG,AP,8.4,12,0.17,84
Hungary,HUN,WE/EU,4.6,54,0.41,46
Iceland,ISL,WE/EU,8.3,13,0.27,83
India,IND,AP,3.1,95,0.12,31
Indonesia,IDN,AP,3,100,0.27,30
Iran,IRN,MENA,2.7,120,0.35,27
Iraq,IRQ,MENA,1.8,175,0.09,18
Ireland,IRL,WE/EU,7.5,19,0.23,75
Israel,ISR,MENA,5.8,36,0.27,58
Italy,ITA,WE/EU,3.9,69,0.19,39
Jamaica,JAM,AME,3.3,86,0.18,33
Japan,JPN,AP,8,14,0.27,80
Jordan,JOR,MENA,4.5,56,0.29,45
Kazakhstan,KAZ,ECA,2.7,120,0.37,27
Kenya,KEN,SSA,2.2,154,0.12,22
Kiribati,KIR,AP,3.1,95,0.56,31
Korea (North),PRK,AP,1,182,0.24,10
Korea (South),KOR,AP,5.4,43,0.23,54
Kosovo,KSV,ECA,2.9,112,0.1,29
Kuwait,KWT,MENA,4.6,54,0.66,46
Kyrgyzstan,KGZ,ECA,2.1,164,0.09,21
Laos,LAO,AP,2.2,154,0.16,22
Latvia,LVA,WE/EU,4.2,61,0.3,42
Lebanon,LBN,MENA,2.5,134,0.15,25
Lesotho,LSO,SSA,3.5,77,0.44,35
Liberia,LBR,SSA,3.2,91,0.34,32
Libya,LBY,MENA,2,168,0.13,20
Lithuania,LTU,WE/EU,4.8,50,0.44,48
Luxembourg,LUX,WE/EU,8.5,11,0.25,85
Macau,MAC,AP,5.1,46,0.74,51
Madagascar,MDG,SSA,3,100,0.4,30
Malawi,MWI,SSA,3,100,0.18,30
Malaysia,MYS,AP,4.3,60,0.31,43
Maldives,MDV,AP,2.5,134,0.15,25
Mali,MLI,SSA,2.8,118,0.2,28
Malta,MLT,WE/EU,5.6,39,0.23,56
Mauritania,MRT,SSA,2.4,143,0.18,24
