country,iso,region,score,rank,interval
Bulgaria,BGR,WE/EU,3.6,78,3.2 - 4.0
El Salvador,SLV,AME,3.6,78,3.4 - 3.8
Panama,PAN,AME,3.6,78,3.2 - 4.1
Trinidad and Tobago,TTO,AME,3.6,78,3.0 - 4.3
Vanuatu,VUT,AP,3.6,78,2.3 - 5.8
China,CHN,AP,3.5,78,3.0 - 4.0
Colombia,COL,AME,3.5,78,3.2 - 4.0
Greece,GRC,WE/EU,3.5,85,3.1 - 3.9
Lesotho,LSO,SSA,3.5,85,2.8 - 4.4
Peru,PER,AME,3.5,87,3.4 - 3.6
Serbia,SRB,ECA,3.5,87,3.1 - 3.9
Thailand,THA,AP,3.5,87,3.2 - 3.9
Malawi,MWI,SSA,3.4,87,2.8 - 3.9
Morocco,MAR,MENA,3.4,91,2.9 - 3.9
Albania,ALB,ECA,3.3,91,3.0 - 3.6
India,IND,AP,3.3,91,3.0 - 3.5
Jamaica,JAM,AME,3.3,91,3.0 - 3.4
Liberia,LBR,SSA,3.3,91,2.7 - 3.9
Bosnia and Herzegovina,BIH,ECA,3.2,98,2.8 - 3.5
Djibouti,DJI,SSA,3.2,98,2.1 - 4.7
Gambia,GMB,SSA,3.2,98,1.9 - 4.4
Guatemala,GTM,AME,3.2,101,3.0 - 3.4
Kiribati,KIR,AP,3.2,101,2.3 - 4.7
Sri Lanka,LKA,AP,3.2,101,2.9 - 3.6
Swaziland,SWZ,AP,3.2,105,3.1 - 3.4
Burkina Faso,BFA,SSA,3.1,105,2.4 - 3.8
Egypt,EGY,MENA,3.1,105,2.9 - 3.4
Mexico,MEX,AME,3.1,105,2.9 - 3.3
Dominican Republic,DOM,AME,3,105,2.7 - 3.2
Sao Tome and Principe,STP,SSA,3,110,2.6 - 3.3
Tonga,TON,AP,3,110,2.6 - 3.3
Zambia,ZMB,SSA,3,110,2.7 - 3.3
Algeria,DZA,MENA,2.9,110,2.6 - 3.2
Argentina,ARG,AME,2.9,110,2.6 - 3.2
Kazakhstan,KAZ,ECA,2.9,110,2.2 - 3.7
Moldova,MDA,ECA,2.9,116,2.7 - 3.2
Senegal,SEN,SSA,2.9,116,2.6 - 3.1
Benin,BEN,SSA,2.8,116,2.3 - 3.3
Bolivia,BOL,AME,2.8,116,2.5 - 3.1
Gabon,GAB,SSA,2.8,116,2.1 - 3.3
Indonesia,IDN,AP,2.8,116,2.3 - 3.2
Kosovo,KSV,ECA,2.8,116,2.7 - 3.1
Solomon Islands,SLB,AP,2.8,123,2.3 - 3.4
Ethiopia,ETH,SSA,2.7,123,2.4 - 2.9
Guyana,GUY,AME,2.7,123,2.6 - 2.8
Mali,MLI,SSA,2.7,123,2.2 - 3.2
Mongolia,MNG,AP,2.7,127,2.4 - 3.0
Mozambique,MOZ,SSA,2.7,127,2.4 - 3.0
Tanzania,TZA,SSA,2.7,127,2.4 - 2.9
Vietnam,VNM,AP,2.7,127,2.4 - 3.1
Armenia,ARM,ECA,2.6,127,2.5 - 2.8
Eritrea,ERI,SSA,2.6,127,1.7 - 3.7
Madagascar,MDG,SSA,2.6,127,2.2 - 2.9
Niger,NER,SSA,2.6,134,2.3 - 2.9
Belarus,BLR,ECA,2.5,134,2.1 - 3.1
Ecuador,ECU,AME,2.5,134,2.2 - 2.7
Lebanon,LBN,MENA,2.5,134,2.0 - 2.9
Nicaragua,NIC,AME,2.5,134,2.2 - 2.7
Syria,SYR,MENA,2.5,134,2.1 - 2.8
Timor-Leste,TLS,AP,2.5,134,2.1 - 2.8
Uganda,UGA,SSA,2.5,134,2.1 - 2.9
Azerbaijan,AZE,ECA,2.4,134,2.1 - 2.7
Bangladesh,BGD,AP,2.4,143,1.9 - 3.0
Honduras,HND,AME,2.4,143,2.2 - 2.7
Nigeria,NGA,SSA,2.4,143,2.2 - 2.7
Philippines,PHL,AP,2.4,146,2.1 - 2.7
Togo,TGO,SSA,2.4,146,2.1 - 2.6
Ukraine,UKR,ECA,2.4,146,1.8 - 3.0
Zimbabwe,ZWE,SSA,2.4,146,2.1 - 2.6
Sierra Leone,SLE,SSA,2.4,146,1.8 - 3.0
Maldives,MDV,AP,2.3,146,1.7 - 2.7
Mauritania,MRT,SSA,2.3,146,1.9 - 2.7
Pakistan,PAK,AP,2.3,146,2.1 - 2.6
Cameroon,CMR,SSA,2.2,154,2.0 - 2.4
Côte d ́Ivoire,CIV,SSA,2.2,154,1.9 - 2.5
Haiti,HTI,AME,2.2,154,2.1 - 2.3
Iran,IRN,MENA,2.2,154,1.6 - 3.1
Libya,LBY,MENA,2.2,154,2.0 - 2.4
Nepal,NPL,AP,2.2,154,1.9 - 2.5
Paraguay,PRY,AME,2.2,154,1.9 - 2.5
Yemen,YEM,MENA,2.2,154,2.0 - 2.5
Russia,RUS,ECA,2.1,154,1.9 - 2.2
Cambodia,KHM,AP,2.1,154,2.0 - 2.3
Tajikistan,TJK,ECA,2.1,154,1.7 - 2.6
Papua New Guinea,PNG,AP,2.1,154,1.9 - 2.3
Central African Republic,CAF,SSA,2.1,154,2.0 - 2.1
Comoros,COM,SSA,2.1,154,2.0 - 2.3
Congo-Brazzaville,COG,SSA,2.1,154,1.6 - 2.6
Guinea-Bissau,GNB,SSA,2.1,154,1.8 - 2.5
Kenya,KEN,SSA,2.1,154,1.9 - 2.3
Laos,LAO,AP,2.1,154,1.7 - 2.5
Guinea,GIN,SSA,2,164,1.7 - 2.3
Democratic Republic of Congo,COD,SSA,2,164,1.8 - 2.2
Kyrgyzstan,KGZ,ECA,2,164,1.8 - 2.3
Angola,AGO,SSA,1.9,168,1.8 - 2.1
Equatorial Guinea,GNQ,SSA,1.9,168,1.8 - 2.0
Burundi,BDI,SSA,1.8,170,1.7 - 2.1
Chad,TCD,SSA,1.7,171,1.6 - 2.0
Sudan,SDN,SSA,1.6,172,1.6 - 1.9
Turkmenistan,TKM,ECA,1.6,172,1.4 - 1.9
Uzbekistan,UZB,ECA,1.6,172,1.4 - 1.8
Venezuela,VEN,AME,1.5,175,1.5 - 1.7
Iraq,IRQ,MENA,1.5,175,1.2 - 1.9
Afghanistan,AFG,AP,1.4,176,1.2 - 1.6
Myanmar,MMR,AP,1.4,176,0.9 - 1.9
Somalia,SOM,SSA,1.1,178,0.9 - 1.4
